text,age_label
This weekend finna be >>>>>>>>>>>>>> ???? [SEP] Why won't these chargers stay IN THIS FUCK ASS WALL!!!!!!! ???? it's bed time for I punch a hole in the wall. ???? [SEP] Wtf don't my job understand about days off. If I'm off that don't mean you can call me in. Tf. I hate tht shit with a passion. [SEP] Auto Zone right now <<<<<<<< ???????????? [SEP] Discovery Channel >>>>>> shit be on point.,18-24
"I'm really craving some noodles in a cup & I don't eat noodles like that. #Weird [SEP] Damn, when it's gone rain?? I don't feel like taking my car to the car wash. Lmao.... ???????????? #ImSoSeriousTho [SEP] My car dirty afffffff. Inside & out. My parents would ring my neck if they seen it. Lol. [SEP] Serena & me childish af!! It's too early to be gettin this weak. ???????? [SEP] It feels good to finally lay down but not without you next to me. ???? #GoodNightFuckas",18-24
"I suck so bad at texting. [SEP] lol shut up!! I jus forget to text back. [SEP] It's just snuggles & me tonight. [SEP] Mann, I'm just tryna drink to get this shit off my mind. ???? [SEP] I SWEAR TO GOD EVERYONE IN SAN ANGELO DRIVE LIKE PUSSIES!! ????????",18-24
IHOP with my boooo.  We finna fuck some shit up. [SEP] I don't fuck with twitter no more. I been neglecting my phone period. [SEP] Either I need to find my glasses or make an appointment to get some new ones. Them hoes M.I.A & I NEED them. ???? [SEP] The struggle of being blind. <<<<<<<< ???? [SEP] Tommy right now <<<<<. ????,18-24
I don't feel like being at work. I just want to sleep. I'm soo tired. ???? [SEP] It's all about me now. I gotta do what I gotta do to make it in this world & make sure that I'm okay. #MeMyself&I [SEP] I'm hungry denna bitch. One more class & I can go smash some shit. [SEP] Me & my dad got into a big argument & he apologized. That's the first time I ever heard my daddy say I'm sorry. Means a lot. #MyNigga ???? [SEP] lmao. I forgot all about that.,18-24
I'm hungry & I want some chocolate chip cookies & I want to go home. I was not tryna come to work today. [SEP] Let me find out what I just did ain't in my job description. I'm checkin some shit. #GotMeFuckedUp [SEP] I just want a big fat ass chocolate chip cookie. [SEP] When my daddy calls my lil Regina......  ???? [SEP] What I woke up to this morning >>>>>>>>>>>>>>>>>> ????????????,18-24
"It took me 20 minutes to figure out how to reset my oil life since I got a oil change. Tf, it shouldn't have to be that hard. ???? [SEP] When irrelevant niggas text me tryna argue <<<<< #YoureDismissed #HoeAssNigga [SEP] These 2 days sleeping by myself is finna be hell!! ???? [SEP] I want to take my weave out for a little while, but dealing with my hair is a real struggle. I gotta big head with too much hair. ???? [SEP] Damn I ain't had corn in a cup in a while. That's my mission tomorrow, find some corn in a cup.",18-24
"Sometimes I wish I didn't have a car. Or better yet everyone I fucked with had a car. ???? [SEP] Fuck wrong with my phone. It's always some bullshit with this stupid ass brick!! [SEP] When bitches constantly talk about how much they don't need their ex, STFU if you don't need him then show it. Stop said it every 5 seconds. [SEP] I just had to say a prayer for my life. lol. [SEP] Lizzie in here killin the game. ????????????",18-24
Throw dat ass Lizzie!! ???? [SEP] When I wake Tommy up & he goes back to sleep......... ???????? [SEP] Dareus's paper he wrote for his English class >>>>>>>>>> [SEP] I'm too hungry right now. [SEP] If you ain't happy with your life then you ain't livin right. ????,18-24
Watching Superman for the billionth time. [SEP] One class tomorrow & no test >>>> ???? [SEP] 47 daysssss. #MyBirthday #20 ???????????? [SEP] My life >>>>> ???? [SEP] I'm finna go pay my girl Kim a visit. I missed her & so did my nails.,18-24
My whole weekend finna be <<<<<<<<< ???? [SEP] I need to take my ass to sleep. But I work all day tomorrow but I'm off on Saturday. [SEP] I'm not going to bed any time soon. ???? [SEP] Good thing I don't have class on Fridays. [SEP] I hope everyone had a beautiful Valentines Day. ??,18-24
"YAYYY. I miss her soo much. I miss my job. ???? [SEP] lol he'll noo. I do want to come visit cause my dad is there. [SEP] I'm sipping good, please don't worry bout what's in my cup. [SEP] These hoes let me drink a whole bottle of ciroc............... I'm drunk denna bitch. [SEP] It's crazy how fast the weather changes in Texas. But I'm not complaining.",18-24
what about your wiper blades doeee....? Lol. [SEP] lmaoooo. Boy stop it. But u can afford a whole chest piece & can't spend $12 on wiper blades. FOH [SEP] lol what ever. That's Gonna be you when it's pouring down raining & u can't see shit. [SEP] My brothers name on twitter >>>>>>>> ???????????????????????????????????????????? [SEP] lmao he Rlly don't. Never did & probably never will. That boy is something else.,18-24
What TF is life right now??? I'm too done with EVERYTHING. ???????????? [SEP] lol I'm just saying. What tat are u getting tho? [SEP] ayeeeeee that shit finna be live denna bitch!!! [SEP] Awwwwwwww Dareuss!!! ???? I just keep it real & you know I'm here to talk. ???? [SEP] girl my snap chat be fuckin up. I got this big ass brick.,18-24
Even tho Dareus & I broke up almost a year ago NOBODY or ANYTHING can break the bond that we have. ?? #FriendsForever [SEP] foreal. I just got this brick in June tho. But He gone come home from Korea & get a 5s.... Bald ass. [SEP] naw the Muse's don't fuck with Camaros. But he finna get me that Audi thooo. [SEP] hellllllll nawwww. Diamond will remain in my possession. That's my baby. [SEP] I need to fold my laundry but I'm TOOO tired too. ????,18-24
I can't be everywhere at once & I can't help everyone all the time. ???????? [SEP] I want to go out to eat or something. I haven't really seen my boo all week. ???? [SEP] When I eat chocolate at the beginning of the day before I eat & it tears my stomach up. <<< ???????? [SEP] Never wanted something more than I want this. ???? [SEP] Whyyyyyyyy did I take my weave out!!! #ICantDealWithThisShit ????,18-24
Some Korean food is calling my name. [SEP] I'm fuckin hungry. I should of ate when I got off work. But someone had a attitude...... ???? [SEP] Can't wait until my daddy comes home for good. [SEP] I just slept my whole math class away. Smh. I'm too tired. [SEP] I hate my history class. ????,18-24
"noooo. Why? You finally decided to get some windshield wipers?? Lol. [SEP] see!!!! Lol u should of been got em. But I can go up there & help u get them & put them on & stuff. [SEP] I don't get out of class until 3:15 cuhh. [SEP] In the name of Jesus, ???? huuaaahhh! [SEP] Only 4 hours of sleep.... This has to stop. Tommy always want to talk when it's time to go to bed. ????",18-24
I can't wait to come back home & go to sleep. [SEP] I want a peanut butter sandwich with bananas on it.  I miss youuuuu Domo!! ?????? [SEP] lol that doesn't make me weird. I drink strawberry milk too. But I be killin plain milk. [SEP] Preach it Andyy!!!! ???????? [SEP] lol I see that. Niggas need to know.,18-24
"not sure if there are notes for this particular presentation but anne's website has stuff: [SEP] thanks I think *smh* #nonethewiser [SEP] just reminded me of this bit of Workerist Dog Propaganda  #cciws13 [SEP] Go home, Australian political news, you're drunk. [SEP] absolutely!",35-49
Introduced to Alison Powell's work on SOPA/PIPA & 'technical activist actions' by  at #cciws13 [SEP] we must get  down here soon! You are doing UIC proud BTW. [SEP] isn't that over yet? [SEP] that looks so inviting [SEP] you'd probably get good lunches.,35-49
"If you can’t see that gender equality is...politics, you have no right to call yourself a political reporter. [SEP] Nothing like 's ultra-dry delivery to cut through the post-lunch slump #cciws13 [SEP] *has spent the past 7 minutes trying to figure out what 'apper' means* [SEP] yes Ben games studies invented fun [SEP] followed by ""who knew?""",35-49
"Oh dear, I think Ramon Lobato may have just suggested game studies is part of media studies #good #shitfightbut #cciws13 [SEP] Which is totally unfair because game studies invented play, materiality, bodies, and texts. [SEP] Anonymity as agency -  unpacking some unrecognised assumptions re identity & 'privacy' & names & bodies #cciws13 [SEP] now  is moving on to the #nymwars as a case of unsettled situation wrt identity, anonymity [SEP] is doing an ace job",35-49
"My Name is Me - a collective response to #nymwars - new to me, thanks  #cciws13 [SEP] #yeahgender “: gender mention (if only briefly) - yay!  #cciws13 [SEP] JOB: Continuing lectureship in Journalism & Media, University of Sydney (re-advertised) [SEP] Paper jammin' #cciws13  QUT Creative Industries Precinct [SEP] Phablet sighting.  at the cutting edge",35-49
"#cciws13 dinner: very conviviality [SEP] An amazing table of contents in this new collection Theorizing Cultural Work [SEP] yeah, library pricing. It's a thing. [SEP] oh dear [SEP] you should tell  - preaching to the converted telling me.",35-49
"material things in our research #cciws13 [SEP] CCI Gothic #cciws13 [SEP] I hadn't intended to characterize you as especially 'preachy', it's just a saying but yes point taken. [SEP] seems like it's turning into quite the 'side' project :) [SEP] how is ANYTHING in the news news anymore. #utterdespair #utter",35-49
"oh I see…this is probably unsurprising :) [SEP] the first and, I dearly hope, the last [SEP] did not. I am OK with Erving [SEP] I'm so glad we invited a couple of Scots to #cciws13. It's one of the hotter accents. [SEP] I have a very deep, almost biological suspicion of charisma. It's the scottish presbyterian in me.",35-49
provides several exs of how 'smoke' might appear in a Twitter corpus. On behalf of the ex-smokers THANKS A LOT AVI NOT #cciws13 [SEP] oh dear [SEP] There's been great progress on 's algorithm for identifying trustworthy social media disaster info since I saw it last! #cciws13 [SEP] has it occurred to you that you may be overly literal at times? [SEP] well at least you've got the accent,35-49
"I'm so impressed by the robust and generous intellectual engagement of everyone at #cciws13. I don't know how we magicked it up. [SEP] Um what exactly is the event that is happening in American democracy right now, mostly non-verbals in my stream [SEP] I ask,  delivers the info - Thank you!  Major filibuster (13 hours) in Texas to prevent legislation restricting abortion [SEP] thank you both as well :) [SEP] Thank you everyone! Epic feminist fillibuster in Texas to prevent anti-abortion lawmaking :)",35-49
"""Jason Potts"", ""Elinor Ostrom"", ""social network markets"" #bingobingobingo the board lights up #cciws13 [SEP] 'There is a lot of concerntrolling about ""the South"" as a place of abject horrors and inhumane acts...' [SEP] #cciws13 paper jamming with , aka 'Straight White Dudes Aren't All That, Bro'. [SEP] Awesome Pics, thank you! MT : Paper Jam hots up at  #CCIWS13. Facebook pics: [SEP] I think I will be grating my own earlobes at that time",35-49
"""hard"" and ""soft"" as modifiers of power/knowledge. #cciws13 OH THE GENDER [SEP] I need to get to the airport! [SEP] Most Australian universities have more professional support staff than academic staff [SEP] more like Days of Our Lives - Marlena is never really dead [SEP] we're excited about our learnings Jason",35-49
"The #auspol mob is visibly aroused. Drooling and jabbering. [SEP] I do but observe, sir. [SEP] There is basically no way TV journos can stay up to date because they can't refresh Twitter & speak to camera at the same time. #spill [SEP] oh dear [SEP] So excited to have (slightly jetlagged)  and  on deck in their new jobs at  and on hand at #cciws13",35-49
"Posting again wrt #cciws13 digital methods workshop: oldtweets, a search engine for the 1st yr of twitter [SEP] thank you! [SEP] oh cool [SEP] argh!!! What'd I miss? [SEP] great stuff darryl",35-49
"Um  just read out his own tweet. Is the a comment or a question. #cciws13 [SEP] I know, I do nothing but oppress your talent. [SEP] welcome to our thread [SEP] #cciws13 closing reception  Old Government House [SEP] #cciws closing reception - stopmotion version :)",35-49
"you gotta know when to fold 'em. [SEP] ""Attention is not necessarily a clumsy or insufficient proxy for physical touch but an autonomous source of pleasure"" [SEP] oh dear [SEP] I was wondering about similar issues for indexing indiv papers in the proceedings but didn't think of this one. [SEP] I thought so",35-49
"Congrats to  colleagues at QUT & RMIT, + our friends at UQ on your ARC Linkage success in FOR20 this round! [SEP] yes, fantastic. Thanks  for posting [SEP] related #cciws13 MT : How To Mess With Big Data Quant Folks—them: “so, what’s your n?” / you: “FEELINGS!” [SEP] Um so this is Vine posts on Twitter over past 2 months according to our data  #ripvine … [SEP] Woo hoo, congrats Dr   QUT Creative Industries Precinct",35-49
"YouTube Celebrates Pride With #ProudToLove Spotlight Channel [SEP] as i said, mad ambulance chasing skillz [SEP] OH at #cciws13 ""So I'm just trying to understand, if your brain is liquefied, how does knowledge transfer occur...?"" [SEP] how many academics need some basic speech and drama training. #alot [SEP] I DEMAND TANKS NAO #occupythefuture",35-49
i hope you completed your feedback forms earlier [SEP] i hope you'll remember the good times [SEP] now you're doing success theatre too? #killmenow [SEP] aw thanks guys. really good to hear. [SEP] and now Dad jokes.,35-49
totes rolling in it [SEP] yes these reports prompted us to check the data yesterday [SEP] it's how we roll [SEP] you should see ! [SEP] Hmmm so new MySpace or should I say InstaVinrSpot,35-49
"I just donated to #Movember, a cause i am passionate about - [SEP] Check out who is changing the face of men’s health for #Movember   via [SEP] . any ideas on date of acceptance notification? [SEP] #TwitterOwesMe $2. What's your account worth? [SEP] Any plans on performing in Belgium again? Loved your show in Kasterlee a couple of months ago !",25-34
"Google Scholar mistake: e-mail of 10 new citations of my articles, yet none cite me and not added to my overview [SEP] Welcome to , my 100th follower! [SEP] Sorry. [SEP] Worth to read his feed -> RT : Let's talk about Internet privacy. It's a hot topic lately. [SEP] Hardly any internet at work, yet facebook and twitter work fine #counterproductive",25-34
"Miley Cyrus appears to be more plausible than I thought for Time PoY [SEP] Santa’s Chief Data Scientist Speaks Out - Ecommerce Blog: [SEP] zelfs 2 fouten - University of Antwerpen [SEP] Except when its night in Africa RT : The total area of solar panels it would take to power the world [SEP] Post Plaza at Korenmarkt, Ghent is a former Post Office, not train station !",25-34
"Seems like permissions are not set right. Can’t access it. [SEP] I just became Tile backer 162585. Become a backer as well by getting yours at [SEP] Cool! Good luck with it... Who is collaborating? [SEP] Presenting poster on CSI corpus for stylometry and deception detection at #CLIN24 [SEP] ""How to improve your twitter engagement"" Put a ring on it?",25-34
"Brains hate randomness: Patterning skills for music and language in humans and other animals | CLiPS  via [SEP] We had a student mentioning the use of a 'sentimental lexicon' in his presentation :-D [SEP] Anxiously awaiting  workshop proposal notification :-) [SEP] nice post, but OUCH ! ""because it’s overall visual weight is mismanaged.” #typo [SEP] Sorry, can't help it! :-p Maybe just lowercase 'ouch' would've sufficed.",25-34
"Scientists explain their processes with a little too much honesty [17 pictures](via ) [SEP] I completed the  #HourofCode app! Check it out:  Fun way for newbies to learn programming [SEP] En wie is knappe professor? [SEP] . releases free Dutch corpus for comp. stylometry   Detect gender, personality, sentiment, deception in text [SEP] Personal Language Analytics for Sentiment Mining",25-34
"I'm loving this advertising by  that actually reflects the world we live in. (via ) [SEP] Programming in a nutshell  via [SEP] There is no link to the Author’s Kit here? the word just looks ‘linkish' [SEP] Ok, found it at the top of the page. But strange that in-text reference looks like link but isn’t. [SEP] Yes the figure of the circle is round indeed. All there's to be said about this graph.",25-34
Those too poor to afford it? [SEP] Yes! Finally some link to your source. Referencing is encouraged !! [SEP] says who? [SEP] Foto ! Pretty please? :) [SEP] Now I'm very curious,25-34
"Anyone knows what html entity &ssquf; does? Found it in an xml file, but can’t find reference except used here  #html [SEP] ""Infants Use Verbs They Know To Learn New Nouns"" or they just use semantics from context (i.e. not only verbs) ?? [SEP] seems to me they learn from semantic context, not just verbs [SEP] He do the wok. Do the wok of life. #songswithwok #direstraits [SEP] I’m wokking on sunshine, oh-oh #songswithwok",25-34
"I’m definitely going to read this List of Common Misconceptions  #Wikipedia [SEP] New friends at work ""RT : Newest CLiPS members arrived today!!  #nao #robot  "" [SEP] where? What s your source? [SEP] Looking to buy an active speaker/monitor for vocals & guitar. Any suggestions? [SEP] Does the association for computational linguistics have a twitter account? #ACL #nlproc",25-34
"Cleaning lady reminds me of my mother. “If you tidy up your room I will clean it for you."" [SEP] Hope this doesn't have to be about the movie. Are you coming to Belgium any time soon? #AskEmma [SEP] Do you still regularly meet with Daniel Radcliffe and Rupert Grint? [SEP] How do you feel about being so beautiful? When you were single, facebook and twitter exploded with love declarations. #AskEmma [SEP] Is that from google, or does it just list wikipedia entries? It doesn't do that for me btw :-p",25-34
"uhm all sane people accept theory of evolution [SEP] also, it's not because some people mistakenly use 'theory' meaning 'hypothesis' that the word changed its meaning [SEP] You’re right. There are indeed people who ignore substantial scientific evidence. [SEP] Jeffrey, dear, please google such things before you make a fool of yourself: [SEP] Still waiting for  Belgium to bring my package to Antwerp that was already in Brussels at 6:05 am :-( was hoping to get it today",25-34
"Thanks for your offer to help! Great service! Though status online didn’t change (still in brussels) they just delivered it :) [SEP] ok, succes! :-) of bonne chance ;-) [SEP] Ready for an interesting day at [SEP] Knew the idea, still a great talk by Jenny Zhang at #TEDxUHasselt on hydrogen as green fuel. [SEP] would love to see the animator's drawings on big screen sometimes, maybe show it as summary at end of talk? #TEDxUHasselt",25-34
"Loving these talks on green technology: enhanced landfill mining and artificial photosynthesis #TEDxUHasselt [SEP] still haven't seen any of the drawings :-( #TEDxUHasselt [SEP] With edible QR code!! “: Hmmm Qkies! ^-^  #TEDxUHasselt [SEP] Having a great time at #TEDxUHasselt thank you organizers! Next up: music [SEP] ""Impressive crowd"" he said. I'm impressed he even saw us :-) #TEDxUHasselt",25-34
"Summary of great talk of  on innovation through humour #TEDxUHasselt [SEP] People interested in microlending: check    #TEDxUHasselt [SEP] Comparison needs double ‘=‘, single ‘=‘ is for assigning variables. So: if ready == “Yes”   Good luck with rest of #saeadh [SEP] At #saeadh to assist  in teaching and instructing XML parsing [SEP] Registered for #TEDxGhent today. Hoping to meet  there for lunch?",25-34
"Looking for people to join me on a two-day guided hiking trip in Iceland nature right after #LREC2014  #lrec [SEP] Which countries have universities in the top 500? [SEP] Uber's website is very obvious: it's a paying service, therefore it's a taxi service that needs a licence to work in Brussels [SEP] It would be awesome to have such an easy app for carpooling though. Anyone know one? [SEP] Of toch onbewust :-p",25-34
Looking for people to join me on a two-day guided hiking trip in Iceland nature right after #LREC2014  #lrec [SEP] Looking for people to join me on a two-day guided hiking trip in Iceland nature right after #LREC2014  #lrec [SEP] . #loveskiva (Tweet [your school name] #loveskiva to get a free  loan code!) [SEP] Good luck ! [SEP] check hashtag #spelfie,25-34
"Looking for people to join me on a two-day guided hiking trip in Iceland nature right after #LREC2014  #lrec [SEP] I would suppose 'french (no capital) fries' are a separate concept, one noun in fact [SEP] sorry, you might be right about the capital :-) [SEP] Looking for people to join me on a two-day guided hiking trip in Iceland nature right after #LREC2014  #lrec [SEP] Where???  :-D  RT : May 15. #BurgerKingBelgium",25-34
"Can you please make this a verified account so we can trust you? :-) [SEP] Succesful bike sharing programs: they forgot Antwerp, which is bigger than some of the others [SEP] you know what to do ;-) RT : ""Unfortunately they’re still building delay of 1.5s+ into each response"" [SEP] I got ""Computational Linguist"" on “What kind of linguist should you be?"" What about you?  #quizzes via [SEP] Often felt like that these past months ""Urban Dictionary: feeling drake""",25-34
"So, anyone can download a certificate of attendance and claim they were there. Strange. [SEP] Actually first translation is literally: ""Please buy the bread that you touch"" and not ""only touch what you buy"" [SEP] Iceland was great so far! And now for some work #LREC2014 [SEP] Speech by Jon Gnarr, Reykjavik mayor ánd comedian :) #LREC2014 compares Icelandic language to goodlooking but very ill patient [SEP] Internet is already unstable? 1200 laptops & smartphones #LREC2014",25-34
""": Putin, Assad, and Obama are playing a high-stakes poker game, and  explains the rules [SEP] wild card ! [SEP] "": ""religion wants us to believe without a deep understanding of things""  #CDIdeas #ideaspeligrosas""// #fail [SEP] Realistic looking pencil drawing~  lo tuyo máster [SEP] "" Jack Ruby shot L. Harvey Oswald 63, a photographer almost took the shot of a lifetime  gran dcto.!",50-XX
""": Daft Punk's wins Grammy for Album of the Year   aquí la neta! [SEP] "": BREAKING: US official: Sinaloa drug chief 'Chapo' Guzman arrested by US, Mexican authorities in Mexico.""// Será cierto  ? [SEP] What else is new ? [SEP] "":  < We would be better with Lopéz Obrador""// #slogan [SEP] Life is the best...//",50-XX
"Mr.Trump is the most ""american citizen"" they ever had, really it's him battle, either // [SEP] Seguro Norberto y JP II Tony// [SEP] Bon apetit . [SEP] "": Happiness can be found in the darkest of times, if one only remembers to turn on the light."" [SEP] ¿What else is new?  ccp  Saludos monero !!",50-XX
"CONGRATS!! [SEP] "": My life isn't perfect but I'm thankful for everything I have."" [SEP] Welcome to Twiterland! [SEP] ""Congrats"" Pancho! #LaVozMexico [SEP] sportcenter .",50-XX
""": Thousands of Mexicans attend protests against student disappearances in Iguala [SEP] Hard to believe,realy sad moment. [SEP] "": Hoy a las seis. #AyotzinapaSomosTodos  #aikir [SEP] The hills of Iguala are a cementery, LA Times. [SEP] Mr  your receiving  the worst,kind of mexican, politician ever sit at president chair.",50-XX
""": Tan actual esta... Molotov - Gimme Tha Power (En Vivo)  #YaMeCanse  ir a marchar hoy. [SEP] "": Well, that's it! I'm moving to MEXICO to get a job on a SOAP OPERA!!  I hear they PAY 10 MILLION! #Mexico #YaMeCanse"" [SEP] The WSJ:contratos d EPN c/Grupo Higa   #EducandoaunChimpance2 [SEP] congrats! [SEP] YO NO SUPERO, YO NO OLVIDO: MARCHA POR LA DIGNIDAD:  #YaMeCanse4  marchar y participar activamente!",50-XX
"Currently reading [SEP] Library Pirate: illegale collectievorming 'gecrowdsourced'  via [SEP] RT : The 10 best songs based on books in pictures  Kate Bush, Joy Division, Nirvana &Philip Glass [SEP] Currently reading [SEP] Currently reading",50-XX
"‘Eve’s Diary,’ Banned Twain Book, Back at Charlton, Mass., Library:  Jammer dat Adam's dagboek nooit is geschreven! [SEP] BBC News - British Library sparks Amazon row [SEP] #playstation football :)??? #studiosport [SEP] RT : HOW SAFE IS THE WORLD / WHEN TRUTH CAN BE SO DANGEROUS #Loesje [SEP] lifelong and selfdirected learning #Robertastevens",50-XX
"Be an advocate for your library [SEP] #b2d10 roberta stevens yes we can! [SEP] presentatie bibliotheekmonitor #b2d10 [SEP] #b2d10 the Seattle public library voorbeeld digitale bibliotheek [SEP] For Quiet Moments Between Protests, a Growing Library:",50-XX
